,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
07/14/18,,E,,8,,-,,1,,-,,6,,-,,4,,06/19/18,,E,,9,,-,,6,,-,,4,,-,,2,,05/25/18,,E,,4,,-,,1,,-,,6,,-,,5,,04/30/18,,E,,3,,-,,6,,-,,8,,-,,4
07/14/18,,M,,2,,-,,1,,-,,3,,-,,3,,06/19/18,,M,,5,,-,,3,,-,,7,,-,,5,,05/25/18,,M,,3,,-,,2,,-,,2,,-,,3,,04/30/18,,M,,9,,-,,4,,-,,0,,-,,9
07/13/18,,E,,4,,-,,2,,-,,5,,-,,0,,06/18/18,,E,,8,,-,,4,,-,,1,,-,,5,,05/24/18,,E,,5,,-,,4,,-,,1,,-,,4,,04/29/18,,E,,7,,-,,7,,-,,8,,-,,7
07/13/18,,M,,6,,-,,6,,-,,7,,-,,3,,06/18/18,,M,,4,,-,,4,,-,,8,,-,,5,,05/24/18,,M,,2,,-,,0,,-,,9,,-,,8,,04/29/18,,M,,7,,-,,1,,-,,4,,-,,2
07/12/18,,E,,4,,-,,0,,-,,7,,-,,2,,06/17/18,,E,,0,,-,,8,,-,,6,,-,,6,,05/23/18,,E,,2,,-,,5,,-,,2,,-,,1,,04/28/18,,E,,7,,-,,6,,-,,9,,-,,5
07/12/18,,M,,4,,-,,7,,-,,2,,-,,3,,06/17/18,,M,,6,,-,,8,,-,,0,,-,,6,,05/23/18,,M,,3,,-,,3,,-,,4,,-,,4,,04/28/18,,M,,0,,-,,9,,-,,4,,-,,4
07/11/18,,E,,7,,-,,0,,-,,3,,-,,0,,06/16/18,,E,,5,,-,,1,,-,,5,,-,,8,,05/22/18,,E,,9,,-,,4,,-,,1,,-,,1,,04/27/18,,E,,1,,-,,5,,-,,6,,-,,6
07/11/18,,M,,5,,-,,4,,-,,4,,-,,9,,06/16/18,,M,,8,,-,,2,,-,,6,,-,,0,,05/22/18,,M,,2,,-,,7,,-,,0,,-,,3,,04/27/18,,M,,0,,-,,5,,-,,3,,-,,6
07/10/18,,E,,1,,-,,9,,-,,1,,-,,5,,06/15/18,,E,,2,,-,,1,,-,,8,,-,,9,,05/21/18,,E,,5,,-,,8,,-,,2,,-,,2,,04/26/18,,E,,6,,-,,3,,-,,2,,-,,9
07/10/18,,M,,9,,-,,6,,-,,4,,-,,1,,06/15/18,,M,,5,,-,,8,,-,,7,,-,,4,,05/21/18,,M,,1,,-,,0,,-,,6,,-,,1,,04/26/18,,M,,1,,-,,1,,-,,6,,-,,1
07/09/18,,E,,8,,-,,2,,-,,9,,-,,3,,06/14/18,,E,,3,,-,,7,,-,,3,,-,,1,,05/20/18,,E,,3,,-,,5,,-,,4,,-,,4,,04/25/18,,E,,0,,-,,4,,-,,0,,-,,7
07/09/18,,M,,2,,-,,1,,-,,6,,-,,0,,06/14/18,,M,,4,,-,,2,,-,,1,,-,,7,,05/20/18,,M,,0,,-,,7,,-,,3,,-,,9,,04/25/18,,M,,6,,-,,6,,-,,3,,-,,3
07/08/18,,E,,4,,-,,1,,-,,3,,-,,9,,06/13/18,,E,,8,,-,,2,,-,,4,,-,,2,,05/19/18,,E,,3,,-,,2,,-,,9,,-,,6,,04/24/18,,E,,1,,-,,5,,-,,3,,-,,5
07/08/18,,M,,0,,-,,5,,-,,2,,-,,6,,06/13/18,,M,,9,,-,,4,,-,,7,,-,,1,,05/19/18,,M,,9,,-,,7,,-,,3,,-,,8,,04/24/18,,M,,1,,-,,5,,-,,2,,-,,1
07/07/18,,E,,8,,-,,7,,-,,2,,-,,4,,06/12/18,,E,,3,,-,,4,,-,,0,,-,,6,,05/18/18,,E,,4,,-,,2,,-,,7,,-,,8,,04/23/18,,E,,2,,-,,8,,-,,4,,-,,9
07/07/18,,M,,5,,-,,2,,-,,3,,-,,2,,06/12/18,,M,,2,,-,,0,,-,,3,,-,,9,,05/18/18,,M,,3,,-,,8,,-,,7,,-,,3,,04/23/18,,M,,5,,-,,1,,-,,4,,-,,0
07/06/18,,E,,3,,-,,3,,-,,5,,-,,5,,06/11/18,,E,,6,,-,,1,,-,,9,,-,,0,,05/17/18,,E,,8,,-,,3,,-,,6,,-,,5,,04/22/18,,E,,8,,-,,3,,-,,9,,-,,8
07/06/18,,M,,3,,-,,1,,-,,5,,-,,8,,06/11/18,,M,,6,,-,,0,,-,,6,,-,,8,,05/17/18,,M,,9,,-,,2,,-,,3,,-,,0,,04/22/18,,M,,4,,-,,4,,-,,6,,-,,8
07/05/18,,E,,0,,-,,2,,-,,7,,-,,8,,06/10/18,,E,,0,,-,,0,,-,,6,,-,,8,,05/16/18,,E,,4,,-,,7,,-,,0,,-,,8,,04/21/18,,E,,1,,-,,0,,-,,1,,-,,3
07/05/18,,M,,3,,-,,1,,-,,8,,-,,5,,06/10/18,,M,,9,,-,,8,,-,,3,,-,,7,,05/16/18,,M,,1,,-,,1,,-,,5,,-,,7,,04/21/18,,M,,4,,-,,4,,-,,7,,-,,6
07/04/18,,E,,9,,-,,8,,-,,4,,-,,5,,06/09/18,,E,,6,,-,,6,,-,,7,,-,,3,,05/15/18,,E,,5,,-,,9,,-,,1,,-,,4,,04/20/18,,E,,5,,-,,3,,-,,5,,-,,1
07/04/18,,M,,4,,-,,5,,-,,5,,-,,3,,06/09/18,,M,,1,,-,,2,,-,,6,,-,,7,,05/15/18,,M,,3,,-,,5,,-,,3,,-,,2,,04/20/18,,M,,2,,-,,1,,-,,3,,-,,1
